reached the balance,reached the conclusion,reached the definition,reached the harmony,
24500000,40100000,31700000,531000,Y
bored her teacher,amazed her teacher,charmed her teacher,informed her teacher,
4400,3470,1830,42700,N
lecturer to have,publisher to have,researcher to have,manufacturer to have,
310000,1120000,7280000,9960000,Y
flattered by 40 percent,transformed by 40 percent,relieved by 40 percent,decreased by 40 percent,
0,1,5,94500,Y
uncovered on the table for such a long time that they no longer taste fresh and solid,uncovered on the table for such a long time that they no longer taste fresh and crispy,uncovered on the table for such a long time that they no longer taste fresh and original,uncovered on the table for such a long time that they no longer taste fresh and smooth,
0,0,0,0,N
built a monument,built a refugee,built a souvenir,built a firecracker,
1260000,256000,148000,29400,Y
construct poems,expose poems,recite poems,install poems,
5940,81,239000,696,Y
offered any proof of convention,offered any proof of relationship,offered any proof of insurance,offered any proof of ownership,
0,0,0,5,Y
be the mission,be the target,be the cradle,be the milestone,
85700000,154000000,7620000,2510000,N
contain artificial ingredients far beyond the abundant level,contain artificial ingredients far beyond the immense level,contain artificial ingredients far beyond the permissible level,contain artificial ingredients far beyond the descriptive level,
0,0,0,0,N
erased all the doubts,canceled all the doubts,overlooked all the doubts,replaced all the doubts,
16600,1,0,4,Y
mock a foreign speaker・s accent,sneak a foreign speaker・s accent,prompt a foreign speaker・s accent,glare a foreign speaker・s accent,
1,0,0,0,Y
barely skin-tight jeans are,evenly skin-tight jeans are,currently skin-tight jeans are,formerly skin-tight jeans are,
0,0,0,0,N
staying sober on the road,staying majestic on the road,staying vigorous on the road,staying noticeable on the road,
1830,0,0,0,Y
disease is creative,disease is disputable,disease is circular,disease is magnificent,
40300,7060,42700,9,N
accuracy,0.6,,,
all_ans_acc,0.522604698,,,
correct_ans_acc,0.851551556,,,
