is a water resource,is a water deposit,is a water shortage,is a water formula,
3230000,23400,842000,11200,N
convinces he can do everything,disguises he can do everything,assumes he can do everything,evaluates he can do everything,
0,0,8170,0,Y
have a clumsy personality,have a durable personality,have a furious personality,have a magnetic personality,
551,9,3,361000,Y
persists in finishing a task,motivates in finishing a task,fascinates in finishing a task,sacrifices in finishing a task,
0,0,0,0,N
reputation has,nutrition has,construction has,stimulation has,
2340000,2560000,13300000,559000,N
tackled over the sea,rustled over the sea,strolled over the sea,hovered over the sea,
0,0,4,194000,Y
is its hot spring resorts,is its hot spring hermits,is its hot spring galleries,is its hot spring faculties,
5,0,0,0,Y
held eligible for the child,held dispensable for the child,held credible for the child,held accountable for the child,
0,0,0,585000,Y
preventive to talk,premature to talk,productive to talk,progressive to talk,
7,977000,372000,355000,Y
person is inherently,person is imperatively,person is authentically,person is alternatively,
1620000,10,27700,27500,Y
accuracy,0.7,7,10,
all_ans_acc,0.689646305,,,
correct_ans_acc,0.936422775,,,
