dismissed along the streets,glided along the streets,wandered along the streets,marched along the streets,
1,21800,84600,183000,N
walked on the grass with bare feet,walked on the grass with raw feet,walked on the grass with tough feet,walked on the grass with slippery feet,
8,0,0,0,Y
morally wrong to spread rumors,physically wrong to spread rumors,literarily wrong to spread rumors,commercially wrong to spread rumors,
2,0,0,0,Y
produce their muscles,connect their muscles,broaden their muscles,loosen their muscles,
11500,2560,5,25600,Y
impresses them before she makes important decisions,advises them before she makes important decisions,consults them before she makes important decisions,motivates them before she makes important decisions,
0,0,3,0,Y
has a definite charge,has a minimum charge,has a flexible charge,has a numerous charge,
11300,359000,3000,0,Y
predict textbooks,require textbooks,display textbooks,target textbooks,
134,55400,5140,2310,N
deep order to calm,deep rest to calm,deep effort to calm,deep breath to calm,
0,3,2,671000,Y
high school maturity and continue,high school diploma and continue,high school foundation and continue,high school guarantee and continue,
0,73100,0,0,Y
dump all household waste shortly,dump all household waste straight,dump all household waste forward,dump all household waste namely,
0,4,0,0,Y
trying to volume,trying to weight,trying to balance,trying to direction,
1170000,7340000,67900000,283000,Y
relieved the university,eliminated the university,projected the university,accounted the university,
369000,6000000,350000,10,Y
engaging in universal forms,engaging in splendid forms,engaging in primitive forms,engaging in courteous forms,
0,0,10,0,Y
issued a travel alert,issued a travel monument,issued a travel exit,issued a travel circulation,
136000,0,1,0,Y
departed by zookeepers,jailed by zookeepers,tended by zookeepers,captured by zookeepers,
0,0,8,4840,N
accuracy,0.8,12,15,
all_ans_acc,0.784067092,,,
correct_ans_acc,0.948785021,,,
