reached the balance,reached the conclusion,reached the definition,reached the harmony,
4,9,4,5,
bored her teacher,amazed her teacher,charmed her teacher,informed her teacher,
4,5,7,10,
lecturer to have,publisher to have,researcher to have,manufacturer to have,
2,7,9,1,
flattered by 40 percent,transformed by 40 percent,relieved by 40 percent,decreased by 40 percent,
10,9,8,9,
uncovered on the table for such a long time that they no longer taste fresh and solid,uncovered on the table for such a long time that they no longer taste fresh and crispy,uncovered on the table for such a long time that they no longer taste fresh and original,uncovered on the table for such a long time that they no longer taste fresh and smooth,
3,1,2,9,
built a monument,built a refugee,built a souvenir,built a firecracker,
1,4,10,9,
construct poems,expose poems,recite poems,install poems,
5,6,7,6,
offered any proof of convention,offered any proof of relationship,offered any proof of insurance,offered any proof of ownership,
2,5,6,2,
be the mission,be the target,be the cradle,be the milestone,
9,6,2,9,
contain artificial ingredients far beyond the abundant level,contain artificial ingredients far beyond the immense level,contain artificial ingredients far beyond the permissible level,contain artificial ingredients far beyond the descriptive level,
8,3,6,2,
erased all the doubts,canceled all the doubts,overlooked all the doubts,replaced all the doubts,
7,10,7,7,
mock a foreign speaker・s accent,sneak a foreign speaker・s accent,prompt a foreign speaker・s accent,glare a foreign speaker・s accent,
10,6,1,8,
ely skin-tight jeans are,evenly skin-tight jeans are,currently skin-tight jeans are,formerly skin-tight jeans are,
6,10,3,8,
staying sober on the road,staying majestic on the road,staying vigorous on the road,staying noticeable on the road,
7,9,1,9,
disease is creative,disease is disputable,disease is circular,disease is magnificent,
7,5,8,6,
accuracy,0.06666666666666667
all_ans_acc,0.21478538527558136
correct_ans_acc,0.38461538461538464
