journey tickets,traffic tickets,concert tickets,record tickets,
217000,14300000,12400000,14800,N
She herself was quite awful,She herself was quite drowsy,She herself was quite tragic,She herself was quite upset,
0,0,0,7,Y
Irish accent,Irish identity,Irish gratitude,Irish signature,
1120000,212000,4530,11700,Y
ceased to her wheelchair,committed to her wheelchair,confined to her wheelchair,conveyed to her wheelchair,
0,5,61800,0,Y
reduce the risk of injury,reduce the risk of offense,reduce the risk of sacrifice,reduce the risk of victim,
18500000,8,0,185000,Y
is a man of exceptional security,is a man of exceptional maturity,is a man of exceptional facility,is a man of exceptional generosity,
0,3,0,3,N
tolerates the use,associates the use,demonstrates the use,exaggerates the use,
251000,3280000,41700000,268000,Y
species are so durable,species are so private,species are so realistic,species are so numerous,
2,1,2,104000,Y
reach agreement quickly . Occasionally,reach agreement quickly . Automatically,reach agreement quickly . Enormously,reach agreement quickly . Innocently,
1,0,0,0,Y
save a lot of money before isolation,save a lot of money before promotion,save a lot of money before retirement,save a lot of money before announcement,
0,0,2,0,Y
become dry and alert,become dry and itchy,become dry and steady,become dry and flexible,
0,15200,2,2,Y
conquered her heart,estimated her heart,guaranteed her heart,intensified her heart,
85900,5100,7050,13500,Y
ruined my parents,cracked my parents,hastened my parents,neglected my parents,
462000,53500,6,37800,Y
people it questioned were not a typical or primitive,people it questioned were not a typical or spiritual,people it questioned were not a typical or representative,people it questioned were not a typical or informative,
0,0,0,0,N
make their new models more liberally,make their new models more individually,make their new models more financially,make their new models more environmentally,
0,0,0,0,N
accuracy,0.733333,11,15,
all_ans_acc,0.7534927,,,
correct_ans_acc,0.940178932,,,
